unique_id;full_address;sale_status;amount;zestimate;beds;baths;footage;type;year_built;heating;cooling;parking;mls;url;id;event_date;event;price;price_change;agents;rental;listing_removed
5811-Pershing-Avenue-Saint-Louis;5811 Pershing Ave, Saint Louis, MO 63112;SOLD; 112,500;243,602;4;1.5;1,990;Single Family;1911;Other;None;None;None;https://www.zillow.com/homedetails/5811-Pershing-Ave-Saint-Louis-MO-63112/3005915_zpid/;2;08/21/15;Listing removed;114,900;0%;;False;False
5811-Pershing-Avenue-Saint-Louis;5811 Pershing Ave, Saint Louis, MO 63112;SOLD; 112,500;243,602;4;1.5;1,990;Single Family;1911;Other;None;None;None;https://www.zillow.com/homedetails/5811-Pershing-Ave-Saint-Louis-MO-63112/3005915_zpid/;3;08/19/15;Price change;114,900;-45.5%;;False;False
5811-Pershing-Avenue-Saint-Louis;5811 Pershing Ave, Saint Louis, MO 63112;SOLD; 112,500;243,602;4;1.5;1,990;Single Family;1911;Other;None;None;None;https://www.zillow.com/homedetails/5811-Pershing-Ave-Saint-Louis-MO-63112/3005915_zpid/;4;06/26/15;Listed for sale;--;0%;;False;False
5811-Pershing-Avenue-Saint-Louis;5811 Pershing Ave, Saint Louis, MO 63112;SOLD; 112,500;243,602;4;1.5;1,990;Single Family;1911;Other;None;None;None;https://www.zillow.com/homedetails/5811-Pershing-Ave-Saint-Louis-MO-63112/3005915_zpid/;5;06/11/15;Sold;210,800;+207%;;False;False
5811-Pershing-Avenue-Saint-Louis;5811 Pershing Ave, Saint Louis, MO 63112;SOLD; 112,500;243,602;4;1.5;1,990;Single Family;1911;Other;None;None;None;https://www.zillow.com/homedetails/5811-Pershing-Ave-Saint-Louis-MO-63112/3005915_zpid/;6;02/28/02;Sold;68,730;0%;;False;False
5817-Pershing-Avenue-Saint-Louis;5817 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;193,935;--;1;1,488;Single Family;1928;Other;Wall;None;None;https://www.zillow.com/homedetails/5817-Pershing-Ave-Saint-Louis-MO-63112/3005917_zpid/;;;;;;;;
5823-Pershing-Avenue-Saint-Louis;5823 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;203,234;--;1;1,784;Single Family;1916;None;Wall;None;None;https://www.zillow.com/homedetails/5823-Pershing-Ave-Saint-Louis-MO-63112/3005919_zpid/;;;;;;;;
5825-Pershing-Avenue-Saint-Louis;5825 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;191,658;--;1;1,584;Single Family;1920;None;Wall;None;None;https://www.zillow.com/homedetails/5825-Pershing-Ave-Saint-Louis-MO-63112/3005920_zpid/;;;;;;;;
5829-Pershing-Avenue-Saint-Louis;5829 Pershing Ave, Saint Louis, MO 63112;SOLD; 235,000;200,390;3;1;1,584;Single Family;1920;Forced air;Central;2 spaces;None;https://www.zillow.com/homedetails/5829-Pershing-Ave-Saint-Louis-MO-63112/3005921_zpid/;1;10/06/16;Sold;235,000;0%;;False;False
5829-Pershing-Avenue-Saint-Louis;5829 Pershing Ave, Saint Louis, MO 63112;SOLD; 235,000;200,390;3;1;1,584;Single Family;1920;Forced air;Central;2 spaces;None;https://www.zillow.com/homedetails/5829-Pershing-Ave-Saint-Louis-MO-63112/3005921_zpid/;2;08/23/16;Pending sale;235,000;0%;;False;False
5829-Pershing-Avenue-Saint-Louis;5829 Pershing Ave, Saint Louis, MO 63112;SOLD; 235,000;200,390;3;1;1,584;Single Family;1920;Forced air;Central;2 spaces;None;https://www.zillow.com/homedetails/5829-Pershing-Ave-Saint-Louis-MO-63112/3005921_zpid/;3;07/15/16;Listed for sale;235,000;0%;;False;False
5829-Pershing-Avenue-Saint-Louis;5829 Pershing Ave, Saint Louis, MO 63112;SOLD; 235,000;200,390;3;1;1,584;Single Family;1920;Forced air;Central;2 spaces;None;https://www.zillow.com/homedetails/5829-Pershing-Ave-Saint-Louis-MO-63112/3005921_zpid/;4;06/05/16;Listing removed;1,700;0%;;True;False
5835-Pershing-Avenue-Saint-Louis;5835 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;227,404;3;1;1,750;Single Family;1915;Other;Other;2 spaces;None;https://www.zillow.com/homedetails/5835-Pershing-Ave-Saint-Louis-MO-63112/3005923_zpid/;1;07/10/13;Sold;180,000;-2.7%;Dave & Sabrina Robb;False;False
5835-Pershing-Avenue-Saint-Louis;5835 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;227,404;3;1;1,750;Single Family;1915;Other;Other;2 spaces;None;https://www.zillow.com/homedetails/5835-Pershing-Ave-Saint-Louis-MO-63112/3005923_zpid/;2;06/12/13;Listing removed;185,000;0%;;False;False
5835-Pershing-Avenue-Saint-Louis;5835 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;227,404;3;1;1,750;Single Family;1915;Other;Other;2 spaces;None;https://www.zillow.com/homedetails/5835-Pershing-Ave-Saint-Louis-MO-63112/3005923_zpid/;3;05/31/13;Listed for sale;185,000;0%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;1;09/09/16;Sold;230,000;0%;Mary Krummenacher;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;2;08/10/16;Sold;230,000;-6.1%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;3;07/05/16;Listing removed;244,900;0%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;4;06/23/16;Pending sale;244,900;0%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;5;06/06/16;Listed for sale;244,900;+17.2%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;6;09/17/11;Listing removed;209,000;0%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;7;07/21/11;Price change;209,000;-4.6%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;8;06/08/11;Price change;219,000;-4.7%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;9;04/16/11;Price change;229,900;-8.0%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;10;02/11/11;Price change;249,900;-3.8%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;11;12/04/10;Price change;259,900;-3.7%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;12;10/24/10;Listed for sale;269,900;+25.0%;;False;False
5839-Pershing-Avenue-Saint-Louis;5839 Pershing Ave, Saint Louis, MO 63112;SOLD; 230,000;241,637;4;2.5;1,750;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5839-Pershing-Ave-Saint-Louis-MO-63112/3005924_zpid/;13;01/04/08;Sold: Foreclosed to lender;216,000;0%;;False;False
