unique_id;full_address;sale_status;amount;zestimate;beds;baths;footage;type;year_built;heating;cooling;parking;mls;url;id;event_date;event;price;price_change;agents;rental;listing_removed
5814-Pershing-Avenue-Saint-Louis;5814 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,687;--;1.5;1,746;Single Family;1920;Other;Central;None;None;https://www.zillow.com/homedetails/5814-Pershing-Ave-Saint-Louis-MO-63112/3005875_zpid/;;;;;;;;
5816-Pershing-Avenue-Saint-Louis;5816 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;241,098;4;3;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5816-Pershing-Ave-Saint-Louis-MO-63112/3005874_zpid/;1;08/16/15;Listing removed;265,000;0%;;False;True
5816-Pershing-Avenue-Saint-Louis;5816 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;241,098;4;3;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5816-Pershing-Ave-Saint-Louis-MO-63112/3005874_zpid/;2;04/09/15;Listed for sale;265,000;+476%;;False;False
5816-Pershing-Avenue-Saint-Louis;5816 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;241,098;4;3;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5816-Pershing-Ave-Saint-Louis-MO-63112/3005874_zpid/;3;08/14/13;Sold;46,000;+17.9%;Phil Young;False;False
5816-Pershing-Avenue-Saint-Louis;5816 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;241,098;4;3;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5816-Pershing-Ave-Saint-Louis-MO-63112/3005874_zpid/;4;04/19/13;Listing removed;39,000;0%;;False;False
5816-Pershing-Avenue-Saint-Louis;5816 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;241,098;4;3;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5816-Pershing-Ave-Saint-Louis-MO-63112/3005874_zpid/;5;04/13/13;Listed for sale;39,000;-63.6%;;False;False
5816-Pershing-Avenue-Saint-Louis;5816 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;241,098;4;3;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5816-Pershing-Ave-Saint-Louis-MO-63112/3005874_zpid/;6;11/26/12;Sold: Foreclosed to lender;107,190;0%;;False;False
5820-Pershing-Avenue-Saint-Louis;5820 Pershing Ave, Saint Louis, MO 63112;SOLD; 160,000;247,336;4;1;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5820-Pershing-Ave-Saint-Louis-MO-63112/3005873_zpid/;1;09/21/15;Sold;160,000;-5.8%;Karleen Hoerr;False;False
5820-Pershing-Avenue-Saint-Louis;5820 Pershing Ave, Saint Louis, MO 63112;SOLD; 160,000;247,336;4;1;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5820-Pershing-Ave-Saint-Louis-MO-63112/3005873_zpid/;2;09/03/15;Listing removed;169,900;0%;;False;False
5820-Pershing-Avenue-Saint-Louis;5820 Pershing Ave, Saint Louis, MO 63112;SOLD; 160,000;247,336;4;1;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5820-Pershing-Ave-Saint-Louis-MO-63112/3005873_zpid/;3;08/10/15;Pending sale;169,900;0%;;False;False
5820-Pershing-Avenue-Saint-Louis;5820 Pershing Ave, Saint Louis, MO 63112;SOLD; 160,000;247,336;4;1;1,768;Single Family;1915;Forced air;Central;None;None;https://www.zillow.com/homedetails/5820-Pershing-Ave-Saint-Louis-MO-63112/3005873_zpid/;4;06/20/15;Listed for sale;169,900;0%;;False;False
5822-Pershing-Avenue-Saint-Louis;5822 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;204,845;3;1;1,674;Single Family;1911;None;Central;None;None;https://www.zillow.com/homedetails/5822-Pershing-Ave-Saint-Louis-MO-63112/3005872_zpid/;1;06/25/10;Listing removed;55,000;0%;;False;True
5822-Pershing-Avenue-Saint-Louis;5822 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;204,845;3;1;1,674;Single Family;1911;None;Central;None;None;https://www.zillow.com/homedetails/5822-Pershing-Ave-Saint-Louis-MO-63112/3005872_zpid/;2;06/23/10;Listed for sale;55,000;0%;;False;False
